[INFO] 2026-04-30 17:33:20 | SYSTEM STARTING...
[INFO] 2026-04-30 17:36:49 | SYSTEM STARTING...
[INFO] 2026-04-30 17:37:12 | AUTH SUCCESS
[INFO] 2026-04-30 17:37:12 | CALL SYMBOL: BSE:SENSEX26APR77500CE
[INFO] 2026-04-30 17:37:12 | PUT SYMBOL: BSE:SENSEX26APR77500PE
[INFO] 2026-04-30 17:37:12 | CALL OHLC: {'open': 181.35, 'high': 690.0, 'low': 181.35, 'close': 320.2}
[INFO] 2026-04-30 17:37:12 | PUT OHLC: {'open': 600.05, 'high': 615.7, 'low': 126.6, 'close': 290.05}
[INFO] 2026-04-30 17:37:12 | CALL LEVELS: [-1464.64, -1150.3, -641.65, -133.0, 181.35, 375.65, 435.68, 495.7, 690.0, 1004.35, 1198.65, 1513.0, 2021.65, 2530.3, 2844.64]
[INFO] 2026-04-30 17:37:12 | PUT LEVELS: [-1456.13, -1153.86, -664.76, -175.66, 126.6, 313.44, 371.15, 428.86, 615.7, 917.96, 1104.8, 1407.06, 1896.16, 2385.26, 2687.53]
[INFO] 2026-04-30 17:37:12 | STARTING WEBSOCKET...
[INFO] 2026-04-30 17:42:38 | SYSTEM STARTING...
[INFO] 2026-04-30 17:42:59 | AUTH SUCCESS
[INFO] 2026-04-30 17:42:59 | CALL SYMBOL: BSE:SENSEX26APR77500CE
[INFO] 2026-04-30 17:42:59 | PUT SYMBOL: BSE:SENSEX26APR77500PE
[INFO] 2026-04-30 17:42:59 | CALL OHLC: {'open': 181.35, 'high': 690.0, 'low': 181.35, 'close': 320.2}
[INFO] 2026-04-30 17:42:59 | PUT OHLC: {'open': 600.05, 'high': 615.7, 'low': 126.6, 'close': 290.05}
[INFO] 2026-04-30 17:42:59 | CALL LEVELS: [-1464.64, -1150.3, -641.65, -133.0, 181.35, 375.65, 435.68, 495.7, 690.0, 1004.35, 1198.65, 1513.0, 2021.65, 2530.3, 2844.64]
[INFO] 2026-04-30 17:42:59 | PUT LEVELS: [-1456.13, -1153.86, -664.76, -175.66, 126.6, 313.44, 371.15, 428.86, 615.7, 917.96, 1104.8, 1407.06, 1896.16, 2385.26, 2687.53]
[INFO] 2026-04-30 17:42:59 | STARTING WEBSOCKET...
[INFO] 2026-04-30 17:43:01 | WebSocket Connected
[INFO] 2026-04-30 18:12:17 | SYSTEM STARTING...
[INFO] 2026-04-30 18:13:09 | AUTH SUCCESS
[INFO] 2026-04-30 18:13:10 | CALL SYMBOL: BSE:SENSEX26APR77500CE
[INFO] 2026-04-30 18:13:10 | PUT SYMBOL: BSE:SENSEX26APR77500PE
[INFO] 2026-04-30 18:13:10 | CALL OHLC: {'open': 181.35, 'high': 690.0, 'low': 181.35, 'close': 320.2}
[INFO] 2026-04-30 18:13:10 | PUT OHLC: {'open': 600.05, 'high': 615.7, 'low': 126.6, 'close': 290.05}
[INFO] 2026-04-30 18:13:10 | CALL LEVELS: [-1464.64, -1150.3, -641.65, -133.0, 181.35, 375.65, 435.68, 495.7, 690.0, 1004.35, 1198.65, 1513.0, 2021.65, 2530.3, 2844.64]
[INFO] 2026-04-30 18:13:10 | PUT LEVELS: [-1456.13, -1153.86, -664.76, -175.66, 126.6, 313.44, 371.15, 428.86, 615.7, 917.96, 1104.8, 1407.06, 1896.16, 2385.26, 2687.53]
[INFO] 2026-04-30 18:13:10 | STARTING WEBSOCKET...
[INFO] 2026-04-30 18:13:12 | WebSocket Connected
